Name,Price,Price_Per_Unit,Area,Facing,Status,Owner,Amenities
"GH 13 Paschim Vihar, New Delhi",1.25Cr,"@10,417/Sq Ft.",1200 Sq Ft.,North-East,Ready to Move,Rohit  (Agent),-1st of 4 Floor-Semi Furnished-Freehold-2 Bathroom-
"Okhla Phase 1, New Delhi",4.81Cr,"@21,531/Sq Ft.",2234 Sq Ft.,North-East,Under Construction,krishna shukla  (Agent),-9th of 29 Floor-Semi Furnished-Freehold-2 Bathroom-
"Chirag Delhi, New Delhi",45Lac,"@56,250/Sq Yd.",80 Sq Yd.,South,Ready to Move,Asha Kadwal (Owner),-1st of 4 Floor-Semi Furnished-Freehold-2 Bathroom-
"Okhla Phase 1, New Delhi",4.82Cr,"@21,576/Sq Ft.",2234 Sq Ft.,North-East,Under Construction,krishna shukla  (Agent),-9th of 29 Floor-Semi Furnished-Freehold-2 Bathroom-
"Paschim Vihar, New Delhi",1.2Cr,"@12,000/Sq Ft.",1000 Sq Ft.,East,Ready to Move,Harpreet singh (Agent),-3rd of 4 Floor-Fully Furnished-Freehold-2 Bathroom-
"Paschim Vihar, New Delhi",1.2Cr,"@10,000/Sq Ft.",1200 Sq Ft.,South-East,Ready to Move,Harpreet singh (Agent),-4th of 4 Floor-Semi Furnished-Freehold-2 Bathroom-
"Paschim Vihar, New Delhi",1.6Cr,"@13,333/Sq Ft.",1200 Sq Ft.,South-East,Ready to Move,Harpreet singh (Agent),-1st of 4 Floor-Semi Furnished-Freehold-3 Bathroom-
"Moti Nagar, New Delhi",1.55Cr,"@11,175/Sq Ft.",1387 Sq Ft.,North-East,Ready to Move,krishna shukla  (Agent),-14th of 26 Floor-Semi Furnished-Freehold-2 Bathroom-
"Govindpuri Main, New Delhi",30Lac,"@3,333/Sq Yd.",900 Sq Yd.,East,Ready to Move,Asha Kadwal (Owner),-1st of 4 Floor-Semi Furnished-Freehold-2 Bathroom-
"Okhla Phase 1, New Delhi",4.49Cr,"@20,098/Sq Ft.",2234 Sq Ft.,North-East,Under Construction,krishna shukla  (Agent),-18th of 29 Floor-Semi Furnished-Freehold-2 Bathroom-
