Name,Price,Price_Per_Unit,Area,Facing,Status,Owner,Amenities
"GH 13 Paschim Vihar, New Delhi",1.7Cr,"@14,167/Sq Ft.",1200 Sq Ft.,South-East,Ready to Move,Harpreet Singh (Admin),-1st of 4 Floor-Semi Furnished-Freehold-2 Bathroom-
"Dwarka Sector 7, New Delhi",85Lac,"@6,538/Sq Ft.",1300 Sq Ft.,North,Under Construction,Vipul Mehta (Builder),-Ground of 3 Floor-Unfurnished-Co-Operative Society-2 Bathroom-
"Karampura, New Delhi",1.78Cr,"@11,259/Sq Ft.",1581 Sq Ft.,North-East,Ready to Move,krishna shukla  (Agent),-10th of 26 Floor-Semi Furnished-Freehold-2 Bathroom-
"New Friends Colony, New Delhi",3.5Cr,"@140,000/Sq Yd.",250 Sq Yd.,South-East,Ready to Move,Bhasin (Agent),-Ground of 4 Floor-Semi Furnished-Freehold-3 Bathroom-
"Moti Nagar, New Delhi",1.78Cr,"@11,259/Sq Ft.",1581 Sq Ft.,North-East,Ready to Move,krishna shukla  (Agent),-11th of 26 Floor-Semi Furnished-Freehold-3 Bathroom-
"Moti Nagar, New Delhi",1.78Cr,"@11,259/Sq Ft.",1581 Sq Ft.,North-East,Ready to Move,krishna shukla  (Agent),-6th of 26 Floor-Unfurnished-Freehold-2 Bathroom-
"Moti Nagar, New Delhi",1.88Cr,"@11,750/Sq Ft.",1600 Sq Ft.,North-East,Ready to Move,krishna shukla  (Agent),-12th of 26 Floor-Semi Furnished-Freehold-2 Bathroom-
"Okhla Phase 1, New Delhi",4.49Cr,"@20,098/Sq Ft.",2234 Sq Ft.,North-East,Under Construction,krishna shukla  (Agent),-5th of 29 Floor-Semi Furnished-Freehold-2 Bathroom-
"Delhi Cantonment, New Delhi",1.78Cr,"@11,259/Sq Ft.",1581 Sq Ft.,North-East,Ready to Move,krishna shukla  (Agent),-8th of 26 Floor-Semi Furnished-Power of Attorney-2 Bathroom-
"Gurgaon Faridabad Road, New Delhi",85Lac,"@5,667/Sq Ft.",1500 Sq Ft.,North-East,Ready to Move,Harsh Khatter (Agent),-2nd of 10 Floor-Semi Furnished-Freehold-3 Bathroom-
